"","continent","extant","extinct","introduction"
"1","Af",NA,NA,NA
"2","AF",31794.5257301808,970038.461538462,NA
"3","AUS",17484.8826086957,188355.555555556,179746.852941176
"4","EA",36413.1945723684,NA,NA
"5","Insular",12431.589628821,95177.912,NA
"6","NA",11071.7273584906,735076.102564103,NA
"7","Oceanic",8568480.22266667,NA,NA
"8","SA",4126.67529274005,985889.131578947,NA
